공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
부산지방법원 광역등기국 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"4,892.34㎡","3,733㎡","1,311.2㎡",777.81㎡,35.12%,121.14%,4.3m,17.65m,46대,부산광역시 연제구,2018.11,착공일로부터 608 일,공공업무시설,"4,892.34 ㎡","10,598,735,862 원","2,166,394 원/㎡","층별 기둥 크기, 배근, 주근 강도의 변화가 있음 등"
한국국토정보공사 광주중부지사 사옥신축공사,철근콘크리트조 지하 1층~지상 6층.,"2,399.99㎡","1,653㎡",353.74㎡,283.85㎡,21.4%,112.44%,4.2m,24.3m,37대,광주광역시 북구,2018.11,착공일로부터 365 일,업무시설,"2,399.99 ㎡","6,388,538,770 원","2,661,902 원/㎡",
하남시 시청사 및 의회청사 증축 건축공사,철근콘크리트조 지하 2층~지상 5층.,"15,916.91㎡","32,348.4㎡","2,640.6㎡","5,526.42㎡",8.16%,21.38%,4.2m,26.95m,282대,경기도 하남시,2018.11,착공일로부터 720 일,공공업무시설,"15,916.91 ㎡","36,113,146,810 원","2,268,854 원/㎡","수평증축, 별동증축, 지하철 대지 하부 통과"
화학물질안전원 신청사 및 교육훈련장 건립사업,철근콘크리트조 지하 1층~지상 5층.,"12,298.41㎡","36,090㎡","3,847.34㎡","7,857.53㎡",10.66%,32.36%,3.9m,21.9m,182대,충청북도 청주시 흥덕구,2018.11,착공일로부터 540 일,교육연구시설(교육원),"12,298.41 ㎡","27,964,820,908 원","2,273,857 원/㎡",
북부산세관 청사 및 지정장치장 신축공사,철근콘크리트조 지하 0층~지상 3층.,"9,978.65㎡","21,183㎡","4,855.3㎡","2,101.01㎡",22.92%,47.11%,4.2m,15.15m,110대,부산광역시 남구,2018.11,착공일로부터 450 일,공공업무시설,"9,978.65 ㎡","15,857,828,662 원","1,589,176 원/㎡","지정장치장은 실제 창고시설로 사용되나 도시계획시설(공공청사,도로)로 결정되어 공공업무시설로 용도가 결정되었음
 (연면적 용도별 구분 : 청사 1,980.26㎡/ 지정장치장 7,987.92㎡ / 안내실 10.47㎡)"
남원세무서 청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"2,768.6㎡","5,959㎡",786.36㎡,"2,150.16㎡",13.2%,43.17%,4.2m,17.6m,43대,전라북도 남원시,2018.11,착공일로부터 300 일,업무시설,"2,768.6 ㎡","7,046,295,982 원","2,545,075 원/㎡",
특공대 훈련시설 신축공사,철근콘크리트조 지하 1층~지상 3층.,"8,469.54㎡","49,896㎡","3,476.35㎡","22,006.92㎡",6.97%,14.76%,4.5m,14.25m,74대,부산광역시 영도구,2018.11,착공일로부터 600 일,"공공업무시설, 교육연구시설","8,469.54 ㎡","20,417,431,794 원","2,410,690 원/㎡",사격장 및 훈련장 포함
대전지방국세청 청사 신축공사,철근콘크리트조 지하 2층~지상 7층.,"20,761.76㎡","18,182.1㎡","2,677.85㎡","3,937.87㎡",14.73%,71.97%,4.2m,34.97m,238대,대전광역시 대덕구,2018.11,착공일로부터 730 일,업무시설,"20,761.76 ㎡","44,369,164,501 원","2,137,062 원/㎡",
청주시 흥덕구청사 건축공사,철골철근콘크리트조 지하 0층~지상 6층.,"14,174.43㎡","31,062㎡","6,203.46㎡","5,637.67㎡",19.97%,45.63%,4.5m,28.05m,372대,충청북도 청주시 흥덕구,2018.10,착공일로부터 720 일,(공공)업무시설,"14,174.43 ㎡","53,901,094,786 원","3,802,699 원/㎡",
국가정보자원관리원 공주센터 신축공사,철골철근콘크리트조 지하 2층~지상 3층.,"16,177.92㎡","223,000㎡","2,790.84㎡","189,574.77㎡",1.25%,2.74%,4.5m,17.13m,198대,충청남도 공주시,2018.09,"착공일로부터 1,080 일",공공청사(업무시설),"16,177.92 ㎡","123,083,976,288 원","7,608,146 원/㎡",대단면 터널 굴착 후 건축공사 시행
