공사명,공사규모,면적_연면적,면적_대지면적,면적_건축면적,면적_조경면적,면적_건폐율,면적_용적률,높이_기준층층고,높이_최고높이,주차대수,현장위치,발주년월,공사기간,건축법상용도,연면적,*총공사비,㎡당 공사비,설계특이사항
서울남부지방검찰청 별관 증축공사,철근콘크리트조 지하 2층~지상 6층.,"8,374.15㎡","13,818.1㎡","1,068.76㎡","3,384.38㎡",7.73%,42.62%,4.2m,29.8m,32대,서울특별시 양천구,2017.06,착공일로부터 720 일,일반청사,"8,374.15 ㎡","18,308,017,616 원","2,186,254 원/㎡",
경기남부지방경찰청 민원동 증축공사,지하 0층~지상 0층.,"8,400.24㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,경기도,2017.06,착공일로부터 540 일,,"8,400.24 ㎡","15,506,148,419 원","1,845,917 원/㎡",
대구서부경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 7층.,"11,526.31㎡","4,958㎡","1,625.93㎡",766.49㎡,32.79%,145.78%,4m,32.1m,128대,대구광역시 서구,2017.06,착공일로부터 730 일,업무시설(공공업무시설),"11,526.31 ㎡","22,783,781,568 원","1,976,676 원/㎡",
서울서부광역등기소 신축공사,철근콘크리트조 지하 1층~지상 4층.,"4,856.98㎡","2,200.6㎡","1,096.84㎡",343.04㎡,49.84%,167.41%,4.2m,18.93m,28대,서울특별시 마포구,2017.05,착공일로부터 450 일,공공업무시설,"4,856.98 ㎡","9,723,728,052 원","2,002,011 원/㎡",
서울북부광역등기소 청사 신축 공사,철근콘크리트조 지하 1층~지상 4층.,"4,507.39㎡","1,703.5㎡",994.5㎡,263.81㎡,58.38%,192.95%,0m,18.75m,30대,서울특별시 도봉구,2017.05,착공일로부터 450 일,공공업무시설,"4,507.39 ㎡","9,067,874,604 원","2,011,779 원/㎡",
한국국토정보공사 경남지역본부 진주지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 5층.,"2,354.58㎡","3,390㎡",403.17㎡,575㎡,11.89%,57.61%,3.9m,22.85m,79대,경상남도 진주시,2017.05,착공일로부터 365 일,공공업무시설,"2,354.58 ㎡","4,707,995,433 원","1,999,505 원/㎡",
서부경찰서 청사 신축공사,철근콘크리트조 지하 3층~지상 7층.,"14,715.67㎡","4,042.3㎡","1,760.45㎡",612.45㎡,43.55%,183.42%,4.2m,37.35m,112대,서울특별시 은평구,2017.05,착공일로부터 720 일,공공업무시설,"14,715.67 ㎡","30,767,121,508 원","2,090,773 원/㎡",
화성동탄경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 5층.,"10,192㎡","13,210㎡","2,597.86㎡","2,895.45㎡",19.67%,65.82%,4.2m,26.8m,177대,경기도 화성시,2017.04,착공일로부터 540 일,업무시설(공공업무시설),"10,192 ㎡","22,485,099,321 원","2,206,152 원/㎡",
TBN제주교통방송 청사 신축공사,철근콘크리트조 지하 2층~지상 4층.,"3,899.42㎡","4,774㎡",951.65㎡,716.1㎡,19.93%,59.65%,3.6m,14.8m,40대,제주특별자치도 제주시,2017.03,착공일로부터 365 일,방송통신시설,"3,899.42 ㎡","11,005,518,435 원","2,822,348 원/㎡",
안산세무서 청사신축 공사,철근콘크리트조 지하 1층~지상 8층.,"10,742.92㎡","4,836.38㎡","1,410.76㎡",949.2㎡,29.17%,222.13%,3.9m,34.25m,143대,경기도 안산시,2017.03,착공일로부터 600 일,공공업무시설,"10,742.92 ㎡","22,710,884,883 원","2,114,033 원/㎡",
마산세무서 청사신축공사,철근콘크리트조 지하 1층~지상 7층.,"9,360.74㎡","4,955㎡","1,101.36㎡","1,138.49㎡",22.23%,124.85%,3.9m,30.7m,100대,경상남도 창원시 마산합포구,2017.02,착공일로부터 660 일,공공업무시설,"9,360.74 ㎡","18,361,062,883 원","1,961,497 원/㎡",
국회 스마트워크센터 및 프레스센터 건립공사,철골철근콘크리트조 지하 1층~지상 4층.,"24,732.58㎡","333,750㎡","6,375.4㎡","8,241.86㎡",1.91%,5.56%,4.5m,23.32m,193대,서울특별시 영등포구,2017.01,착공일로부터 943 일,"공공업무시설, 근린생활시설","24,732.58 ㎡","57,703,092,632 원","2,333,080 원/㎡",
긴급상황센터 신축공사,철근콘크리트조 지하 1층~지상 3층.,"3,271.72㎡","6,921.23㎡","1,939.47㎡","3,420.9㎡",28.02%,42.47%,4.8m,14.9m,20대,충청북도 청주시 흥덕구,2017.01,착공일로부터 300 일,공공업무시설,"3,271.72 ㎡","8,632,946,237 원","2,638,657 원/㎡",
금천경찰서 신축공사,철근콘크리트조 지하 1층~지상 6층.,"12,685.7㎡","9,200㎡","2,757.85㎡","1,642.56㎡",29.98%,137.89%,0m,27.6m,132대,서울특별시 금천구,2016.11,착공일로부터 660 일,공공업무시설(청사),"12,685.7 ㎡","26,643,583,954 원","2,100,285 원/㎡",
507의무경찰대 신축공사,철근콘크리트조 지하 0층~지상 3층.,"2,501.02㎡","16,996㎡",975.03㎡,"10,554㎡",5.74%,14.72%,3.6m,13.2m,22대,전라남도 여수시,2016.10,착공일로부터 240 일,공공업무시설,"2,501.02 ㎡","4,287,816,687 원","1,714,427 원/㎡",
태백지청 합동청사 신축공사,철근콘크리트조 지하 1층~지상 4층.,"3,459.85㎡","2,496㎡",889.79㎡,607.93㎡,35.65%,138.62%,0m,18.1m,25대,강원도 태백시,2016.10,착공일로부터 730 일,업무시설(공공청사),"3,459.85 ㎡","6,961,487,525 원","2,012,078 원/㎡",
국민건강보험공단 안성지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 3층.,"1,959.02㎡","3,432㎡",622.12㎡,912.4㎡,18.13%,57.08%,0m,0m,51대,경기도 안성시,2016.10,착공일로부터 244 일,업무시설(공공청사),"1,959.02 ㎡","5,069,362,534 원","2,587,703 원/㎡",
국민건강보험공단 오산지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 3층.,"2,445.98㎡","2,288.9㎡",583.77㎡,600㎡,25.5%,72.78%,3.9m,18.4m,42대,경기도 오산시,2016.10,착공일로부터 306 일,업무시설(공공청사),"2,445.98 ㎡","5,818,172,249 원","2,378,667 원/㎡",
전주지방검찰청 신축공사,철근콘크리트조 지하 1층~지상 8층.,"26,265.63㎡","33,235㎡","5,346.62㎡","10,596.24㎡",16.09%,62.98%,4.2m,43.9m,331대,전라북도 전주시,2016.10,"착공일로부터 1,020 일",공공업무시설,"26,265.63 ㎡","57,311,942,626 원","2,182,013 원/㎡",
국민건강보험공단 시흥지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"3,128.78㎡","3,044.4㎡",773.99㎡,509.02㎡,25.42%,97.29%,3.9m,18.9m,56대,경기도 시흥시,2016.10,착공일로부터 306 일,누락(제1종근린생활시설/지역건강보험조합),"3,128.78 ㎡","6,921,043,832 원","2,212,058 원/㎡",
한국고전번역원 청사이전 신축사업,철근콘크리트조 지하 1층~지상 6층.,"7,510.72㎡","2,975.2㎡","1,414.28㎡",565.76㎡,47.54%,252.44%,0m,27.8m,38대,서울특별시 은평구,2016.09,착공일로부터 540 일,일반청사,"7,510.72 ㎡","13,609,943,804 원","1,812,069 원/㎡",
국민건강보험공단 여수지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"2,614.68㎡","4,125㎡",687.65㎡,"1,194.3㎡",16.67%,60.81%,3.9m,17m,56대,전라남도 여수시,2016.09,착공일로부터 300 일,일반업무시설,"2,614.68 ㎡","6,713,777,381 원","2,567,724 원/㎡",
국민건강보험공단 홍성지사 사옥 신축공사,철근콘크리트조 지하 0층~지상 3층.,"1,587.19㎡","3,435.3㎡",616.04㎡,776.48㎡,17.93%,46.2%,3.9m,18.9m,48대,충청남도 홍성군,2016.09,착공일로부터 240 일,일반업무시설,"1,587.19 ㎡","4,496,995,789 원","2,833,307 원/㎡",
국립환경과학원 국가환경위성센터 건립공사,철근콘크리트조 지하 1층~지상 3층.,"2,917.51㎡","3,528.58㎡",993.35㎡,"1,912.84㎡",28.15%,65.23%,5.1m,18.6m,8대,인천광역시 서구,2016.08,착공일로부터 365 일,연구소(공공업무시설),"2,917.51 ㎡","9,099,450,253 원","3,118,910 원/㎡",
국민건강보험공단 영광함평지사 사옥 신축공사,지하 0층~지상 0층.,"1,779.19㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,전라남도,2016.08,착공일로부터 240 일,,"1,779.19 ㎡","4,675,828,599 원","2,628,066 원/㎡",
국민건강보험공단 상주지사 사옥신축공사,철근콘크리트조 지하 1층~지상 3층.,"1,745.52㎡","2,822㎡",628.12㎡,613㎡,22.26%,58.1%,3.9m,13.75m,34대,경상북도 상주시,2016.08,착공일로부터 240 일,공공업무시설,"1,745.52 ㎡","4,421,850,214 원","2,533,257 원/㎡",
전주지방법원청사 신축 공사,철근콘크리트조 지하 0층~지상 0층.,"38,934.02㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,전라북도 전주시,2016.07,"착공일로부터 1,080 일",.,"38,934.02 ㎡","86,339,056,507 원","2,217,574 원/㎡",
여수지사 청사 신축공사,철근콘크리트조 지하 1층~지상 3층.,"2,455.72㎡","4,856.4㎡",961.53㎡,"1,084.83㎡",19.8%,50.57%,0m,15.1m,53대,전라남도 여수시,2016.07,착공일로부터 420 일,업무시설(공공청사),"2,455.72 ㎡","5,193,268,336 원","2,114,764 원/㎡",
새만금지방환경청 신청사 건립사업,철근콘크리트조 지하 1층~지상 4층.,"5,980.36㎡","10,687.1㎡","2,098.61㎡","2,788.61㎡",19.64%,45.84%,4.2m,18.65m,100대,전라북도 전주시,2016.06,착공일로부터 540 일,업무시설(공공청사),"5,980.36 ㎡","12,554,691,077 원","2,099,320 원/㎡",
영덕준법지원센터 신축공사,지하 0층~지상 0층.,"1,265.7㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,경상북도,2016.06,착공일로부터 315 일,,"1,265.7 ㎡","2,506,679,706 원","1,980,469 원/㎡",
한국산업인력공단 울산지사 상설검정장 겸 청사 신축공사,철근콘크리트조 지하 1층~지상 3층.,"3,545.6㎡","42,487㎡",715.89㎡,0㎡,1.68%,4.83%,3.9m,17.1m,70대,울산광역시 중구,2016.06,착공일로부터 240 일,교육연구시설,"3,545.6 ㎡","5,566,747,990 원","1,570,044 원/㎡",
상당구청사 신축공사,철골철근콘크리트조 지하 1층~지상 5층.,"19,488.14㎡","45,882㎡","4,177.23㎡","1,660.05㎡",9.1%,25.27%,4.2m,24.05m,337대,충청북도 청주시,2016.04,착공일로부터 510 일,공공업무시설,"19,488.14 ㎡","44,870,545,091 원","2,302,454 원/㎡",
충남지방경찰청 태안경찰서 신축공사,철근콘크리트조 지하 1층~지상 4층.,"6,076㎡","13,227㎡","2,018.21㎡","3,543.62㎡",15.26%,45.94%,0m,19.15m,78대,충청남도 태안군,2016.04,착공일로부터 510 일,공공업무시설,"6,076 ㎡","13,115,126,709 원","2,158,513 원/㎡",
경기서부융복합지원센터 신축공사,철근콘크리트조 지하 1층~지상 5층.,"4,895.37㎡","3,443.6㎡","1,446.69㎡",530.57㎡,42.01%,127.4%,4.5m,24.9m,52대,경기도 시흥시,2016.03,착공일로부터 365 일,"공공업무시설, 근린생활시설","4,895.37 ㎡","9,491,571,661 원","1,938,887 원/㎡",
통합교통정보센터 건립공사,철근콘크리트조 지하 1층~지상 4층.,"3,884.94㎡","22,500㎡",897.23㎡,0㎡,3.99%,13.39%,4.5m,20.54m,11대,경기도 화성시,2016.02,착공일로부터 420 일,업무시설(공공청사),"3,884.94 ㎡","9,456,243,902 원","2,434,077 원/㎡",
세종우체국 건립공사,철근콘크리트조 지하 1층~지상 3층.,"5,937.7㎡","14,146㎡","3,417.6㎡","2,920.72㎡",24.16%,41.97%,0m,15.01m,160대,세종특별자치시,2016.02,착공일로부터 550 일,"공공업무시설(우체국), 근린생활시설","5,937.7 ㎡","15,046,169,037 원","2,534,006 원/㎡",
국민건강보험공단 대전지역본부 사옥 신축공사,철골철근콘크리트조 지하 1층~지상 8층.,"13,578.75㎡","6,571.8㎡","2,872.51㎡","1,660.05㎡",43.71%,206.62%,0m,37.18m,180대,세종특별자치시,2015.12,착공일로부터 720 일,공공업무시설,"13,578.75 ㎡","31,493,349,883 원","2,319,311 원/㎡",
농림축산검역본부 호남지역본부 청사 신축공사,지하 0층~지상 0층.,"3,256.06㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,전라북도,2015.11,착공일로부터 360 일,,"3,256.06 ㎡","8,843,398,447 원","2,715,981 원/㎡",
예천군 신청사 및 의회청사 건립공사,철근콘크리트조 지하 1층~지상 5층.,"17,861.04㎡","41,893㎡","4,943.4㎡","12,952.27㎡",11.8%,30.21%,0m,32.08m,300대,경상북도 예천군,2015.11,착공일로부터 610 일,업무시설(공공청사),"17,861.04 ㎡","40,384,907,961 원","2,261,061 원/㎡",
해운대우체국 건립공사,철근콘크리트조 지하 1층~지상 4층.,"7,962.38㎡","3,521.4㎡","2,065.28㎡",658.56㎡,58.65%,156.2%,4.2m,23.79m,62대,부산광역시 해운대구,2015.10,착공일로부터 650 일,공공업무시설(우체국),"7,962.38 ㎡","15,463,137,801 원","1,942,025 원/㎡",
TBN경북교통방송 청사 신축공사,철근콘크리트조 지하 1층~지상 3층.,"2,988.23㎡","9,483㎡","1,131.51㎡","3,384.07㎡",11.93%,24.94%,4.5m,18.9m,41대,경상북도 포항시 북구,2015.10,착공일로부터 334 일,방송통신시설/업무시설,"2,988.23 ㎡","8,229,921,858 원","2,754,113 원/㎡",
국민건강보험공단 논산지사 사옥 신축공사,철근콘크리트조 지하 0층~지상 3층.,"1,838.16㎡","3,395.4㎡",705.89㎡,656.63㎡,20.79%,54.14%,3.9m,13.9m,49대,충청남도 논산시,2015.10,착공일로부터 240 일,업무시설(일반업무시설),"1,838.16 ㎡","4,330,294,685 원","2,355,777 원/㎡",
서울영동우체국 건립공사,철근콘크리트조 지하 3층~지상 8층.,"13,631.15㎡","2,633.7㎡","1,203.4㎡",465.89㎡,45.69%,293.19%,3m,32.98m,131대,서울특별시 강남구,2015.09,착공일로부터 920 일,"공공업무시설, 근린생활시설, 일반업무시설(오피스텔)","13,631.15 ㎡","28,605,191,712 원","2,098,516 원/㎡",
국민건강보험공단 순천곡성지사 사옥 신축공사,철근콘크리트조 지하 1층~지상 4층.,"2,911.09㎡","4,577.1㎡",793.1㎡,762.26㎡,17.33%,61.33%,3.6m,15.7m,71대,전라남도 순천시,2015.09,착공일로부터 300 일,일반업무시설,"2,911.09 ㎡","6,754,434,668 원","2,320,242 원/㎡",
국민건강보험공단 무안신안지사 사옥 신축공사,철근콘크리트조 지하 0층~지상 3층.,"1,775.68㎡","3,182㎡",726.15㎡,805.46㎡,22.82%,55.8%,3.9m,19.17m,35대,전라남도 무안군,2015.08,착공일로부터 225 일,업무시설,"1,775.68 ㎡","4,341,534,056 원","2,444,998 원/㎡",
예산군 신청사 건립공사,철근콘크리트조 지하 1층~지상 9층.,"25,805.16㎡","35,397㎡","6,459.57㎡","12,273.59㎡",18.25%,72.9%,0m,42.55m,672대,충청남도 예산군,2015.07,착공일로부터 780 일,공공업무시설(공공청사),"25,805.16 ㎡","59,658,062,866 원","2,311,866 원/㎡",
김포지사 사옥신축 공사,철근콘크리트조 지하 1층~지상 4층.,"3,599.42㎡","3,238.4㎡",722.42㎡,0㎡,22.31%,111.15%,0m,21.6m,72대,충청북도 청주시,2015.06,착공일로부터 306 일,업무시설(일반업무시설),"3,599.42 ㎡","8,165,376,717 원","2,268,526 원/㎡",
인천논현경찰서 신축 공사,철근콘크리트조 지하 1층~지상 6층.,"12,415㎡","11,062㎡","2,530.11㎡","2,104.5㎡",22.87%,81.64%,4.2m,30.45m,188대,인천광역시 남동구,2015.06,착공일로부터 600 일,공공업무시설,"12,415 ㎡","24,881,071,371 원","2,004,114 원/㎡",
의왕경찰서 청사 신축공사,철근콘크리트조 지하 1층~지상 7층.,"9,346.84㎡","11,150㎡","2,289.77㎡","1,672.5㎡",20.54%,72.5%,0m,33.95m,124대,경기도 의왕시,2015.06,착공일로부터 600 일,공공업무시설,"9,346.84 ㎡","20,211,479,485 원","2,162,386 원/㎡",
목포경찰서 청사 신축 공사,철근콘크리트조 지하 1층~지상 6층.,"15,583.96㎡","18,880㎡","3,028.8㎡","4,230.41㎡",16.04%,65.58%,4.2m,28m,162대,전라남도 목포시,2015.05,착공일로부터 540 일,업무시설(공공청사),"15,583.96 ㎡","32,186,155,382 원","2,065,339 원/㎡",
의정부지방법원 제4신관 증축공사,철근콘크리트조 지하 0층~지상 0층.,"1,446.26㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,경기도,2015.05,착공일로부터 152 일,.,"1,446.26 ㎡","2,654,051,757 원","1,835,114 원/㎡",
수산자원조사센터 건립공사,철근콘크리트조 지하 0층~지상 0층.,"5,309.45㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,경상남도,2015.04,착공일로부터 480 일,.,"5,309.45 ㎡","16,043,543,424 원","3,021,696 원/㎡",
(가칭)세종비즈센터 시설공사,지하 0층~지상 0층.,"10,321.14㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,세종특별자치시,2015.03,착공일로부터 540 일,,"10,321.14 ㎡","17,251,944,041 원","1,671,515 원/㎡",
식약처 본부청사 증축공사,철근콘크리트조 지하 1층~지상 5층.,"6,539㎡","400,256.8㎡","2,031.02㎡","235,714.85㎡",0.51%,1.47%,4.5m,32.5m,94대,충청북도 청주시 흥덕구,2015.03,착공일로부터 480 일,업무시설(일반업무시설),"6,539 ㎡","15,846,810,337 원","2,423,430 원/㎡",
긴급 운전면허본부 울산이전청사 신축공사,철근콘크리트조 지하 1층~지상 6층.,"4,986.55㎡","4,923㎡",820.37㎡,754.66㎡,16.66%,101.29%,4.2m,32.5m,77대,울산광역시 중구,2015.02,착공일로부터 450 일,업무시설(일반업무시설),"4,986.55 ㎡","9,705,666,535 원","1,946,369 원/㎡",
국립공원관리공단 청사 신축공사,철근콘크리트조 지하 1층~지상 8층.,"9,441.3㎡","12,276㎡","2,125.81㎡","4,722.11㎡",17.32%,60.97%,4.2m,32.5m,77대,강원도 원주시,2015.01,착공일로부터 660 일,업무시설(일반청사),"9,441.3 ㎡","20,631,397,228 원","2,185,228 원/㎡",
한국교직원공제회관 신축공사,지하 5층~지상 27층.,"83,381.31㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,서울특별시,2015.01,"착공일로부터 1,065 일",,"83,381.31 ㎡","233,503,772,181 원","2,800,433 원/㎡",
한국인터넷진흥원 지방이전 청사 신축공사,철근콘크리트조 지하 1층~지상 8층.,"16,656.46㎡","23,613㎡","3,991.43㎡","6,892.05㎡",16.9%,70.54%,0m,45.85m,213대,전라남도 나주시,2015.01,착공일로부터 660 일,일반업무시설,"16,656.46 ㎡","35,118,830,402 원","2,108,421 원/㎡",
대전지방법원 천안지원청사 신축공사,철근콘크리트조 지하 0층~지상 0층.,"24,130.77㎡",0㎡,0㎡,0㎡,%,%,0m,0m,0대,충청남도,2015.01,착공일로부터 912 일,.,"24,130.77 ㎡","54,728,955,588 원","2,268,015 원/㎡",
