영업중,인허가일자_년도,인허가일자_월,인허가일자_일,지역,영업상태구분코드,상세영업상태코드,시설면적,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부
0, 2002, 04, 03,충청남도 서산시,4,31,200.2,7,1,Y,Y,Y,Y,Y,Y
0, 2000, 07, 29,충청남도 논산시,4,31,198.0,7,3,Y,Y,Y,Y,Y,Y
0, 2002, 05, 10,충청남도 천안시,4,31,127.8,5,0,N,N,N,N,N,N
0, 2002, 06, 17,충청남도 천안시,4,31,136.96,7,0,Y,Y,Y,N,Y,Y
0, 2009, 04, 24,충청남도 서산시,4,31,145.6,5,2,Y,Y,Y,Y,N,Y
0, 2004, 04, 27,충청남도 논산시,4,31,122.85,10,4,N,N,N,N,N,N
0, 2003, 12, 29,충청남도 논산시,4,31,130.78,10,4,N,N,N,N,N,N
0, 2003, 05, 10,충청남도 논산시,4,31,104.2,14,4,Y,Y,Y,Y,Y,Y
0, 1998, 02, 10,충청남도 천안시,4,31,166.51,7,0,N,Y,N,N,N,N
0, 2004, 12, 28,충청남도 천안시,4,31,181.3,10,0,N,N,N,N,N,N
0, 2000, 01, 04,충청남도 천안시,4,31,99.0,4,2,N,N,N,Y,N,N
0, 2006, 04, 12,충청남도 당진시,4,31,156.79,10,4,N,N,N,N,N,N
0, 2007, 09, 06,충청남도 당진시,4,31,156.79,10,4,N,N,N,N,N,N
0, 2007, 12, 12,충청남도 당진시,4,31,156.79,10,4,N,N,N,N,N,N
0, 2007, 03, 02,충청남도 당진시,4,31,156.79,10,4,N,N,N,N,N,N
0, 1995, 01, 11,충청남도 홍성군,4,31,128.0,6,2,N,Y,Y,Y,Y,Y
0, 2009, 03, 18,충청남도 당진시,4,31,214.92,10,4,N,N,N,N,N,N
0, 1999, 05, 25,충청남도 예산군,4,31,166.0,10,4,N,N,N,N,N,N
0, 1997, 10, 14,충청남도 예산군,4,31,135.94,10,4,N,N,N,N,N,N
0, 2011, 08, 05,충청남도 계룡시,4,31,210.0,8,1,N,N,N,Y,N,N
0, 2004, 05, 13,충청남도 아산시,4,31,180.6,7,4,N,N,N,N,N,N
0, 1996, 05, 17,충청남도 홍성군,4,31,107.1,4,4,N,N,N,N,N,N
0, 2004, 12, 31,경기도 하남시,4,31,180.62,8,1,Y,Y,Y,Y,N,Y
0, 2002, 04, 19,경기도 안양시,4,31,125.4,5,4,N,N,N,N,N,N
0, 2003, 08, 19,경기도 포천시,4,31,192.1,7,4,Y,Y,Y,N,Y,Y
0, 2001, 09, 26,경기도 안양시,4,31,125.55,5,4,N,N,N,N,N,N
0, 2003, 03, 08,경기도 용인시,4,31,26.61,1,4,Y,Y,Y,N,N,Y
1, 2008, 05, 21,충청남도 청양군,1,13,100.73,4,0,Y,Y,Y,N,Y,Y
1, 1999, 06, 22,서울특별시 노원구,1,13,115.5,8,0,N,N,N,N,N,N
1, 2007, 07, 12,서울특별시 노원구,1,13,100.56,5,0,N,N,N,N,N,N
1, 2007, 10, 08,서울특별시 노원구,1,13,84.43,6,0,N,N,N,N,N,N
1, 2014, 09, 03,서울특별시 노원구,1,13,168.99,9,0,N,N,N,N,N,N
1, 2013, 03, 04,서울특별시 노원구,1,13,48.96,3,0,N,N,N,N,N,N
1, 1999, 06, 21,서울특별시 노원구,1,13,132.0,8,0,N,N,N,N,N,N
1, 2002, 06, 11,서울특별시 노원구,1,13,170.89,8,0,N,N,N,N,N,N
1, 2015, 04, 22,서울특별시 영등포구,1,13,103.5,5,0,N,N,N,N,N,N
1, 2015, 06, 10,서울특별시 영등포구,1,13,114.71,4,0,Y,Y,N,N,N,N
1, 2002, 10, 08,서울특별시 영등포구,1,13,132.0,8,0,N,N,N,N,N,N
1, 2009, 03, 19,서울특별시 중구,1,13,124.35,6,0,N,N,N,N,N,N
1, 2017, 05, 11,서울특별시 중구,1,13,182.0,17,0,Y,Y,N,N,N,N
1, 1996, 07, 13,서울특별시 중구,1,13,133.98,6,0,N,N,N,N,N,N
1, 2012, 07, 26,서울특별시 중구,1,13,162.91,6,0,N,N,N,N,N,N
1, 2010, 08, 20,서울특별시 송파구,1,13,140.2,5,0,N,N,N,N,N,N
1, 2001, 12, 24,서울특별시 중구,1,13,118.7,13,0,N,N,N,N,N,N
1, 2015, 10, 08,서울특별시 중구,1,13,199.19,10,0,N,N,N,N,N,N
1, 2002, 03, 27,서울특별시 양천구,1,13,158.67,8,0,N,N,N,N,N,N
1, 2002, 05, 10,서울특별시 송파구,1,13,111.11,6,0,N,N,N,N,N,N
1, 1999, 09, 22,서울특별시 서초구,1,13,201.23,1,0,N,N,N,N,N,N
1, 2010, 10, 25,서울특별시 중구,1,13,274.32,3,0,N,N,N,N,N,N
1, 2011, 06, 22,서울특별시 중구,1,13,171.87,3,0,N,N,N,N,N,N
1, 2012, 04, 06,서울특별시 중구,1,13,147.86,10,0,N,N,N,N,N,N
1, 2008, 05, 16,서울특별시 서대문구,1,13,113.56,5,0,N,N,N,N,N,N
1, 1998, 10, 24,서울특별시 중구,1,13,80.84,5,0,N,N,N,N,N,N
1, 2001, 09, 27,서울특별시 서대문구,1,13,156.79,10,0,N,N,N,N,N,N
1, 2001, 07, 02,서울특별시 송파구,1,13,132.0,6,0,N,N,N,N,N,N
1, 1999, 03, 15,서울특별시 송파구,1,13,149.0,7,0,N,N,N,N,N,N
1, 2007, 01, 25,서울특별시 송파구,1,13,367.99,5,0,N,N,N,N,N,N
1, 2010, 11, 17,서울특별시 송파구,1,13,147.2,5,0,N,N,N,N,N,N
